"course_id"	"institution_code"	"course_title"	"course_dept"	"course_desc"	"course_topics"
"270"	"GT"	"CS 7646: Machine Learning for Trading"	"__NONE__"	"This course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. The focus is on how to apply probabilistic machine learning approaches to trading decisions. We consider statistical approaches like linear regression, Q-Learning, KNN and regression trees and how to apply them to actual stock trading situations.  Mini-course 1: Manipulating Financial Data in Python Mini-course 2: Computational Investing Mini-course 3: Machine Learning Algorithms for Trading"	
"271"	"GT"	"CS 8803: Visual Data Analysis"	"__NONE__"	"Visualization. An understanding of how to bind data values and attributes to visual encodings and metaphors to illuminate insights from data. Analysis. Cognitive processes of gaining understanding from data. Interaction. Designed visual controls and actions enabling people to act upon their cognitive processes to reason about, and explore, their data. Read, Discuss, and Learn about select research areas and publications in visual analytics, human-computer interaction, and information visualization. Learn about user tasks, questions, and frameworks describing how people think about information in order to support the design of analytic systems. Explore methods, techniques, and modalities for user interaction (e.g., multi-touch, gesture, etc.) for data exploration. Develop prototype interactive visual analytic systems through assignments and semester-long group projects. Gain the ability to read and discuss research within the visual analytics literature Write a term paper describing interactive data analysis"	
"272"	"GT"	"MGT 6057: Business Process Analysis and Design"	"__NONE__"	"Explore software infrastructure of the firm. How does that infrastructure support the business' processes? Includes an ERP simulation game. Effective management of technology to gain competitive advantage. Involves use of SAP."	
"273"	"GT"	"MGT 6304: Customer Relationship Management"	"__NONE__"	"NA"	
"274"	"GT"	"MGT 6310: Marketing Research"	"__NONE__"	"Learn the skills to translate management problems into marketing research problems. Gain the ability to analyze problems systematically. Develop critical eyes for marketing research and understand its contributions and limitations. Gain a working “hands-on” experience with the full process of marketing research."	
"275"	"GT"	"MGT 6400: Pricing Analytics and Revenue Management"	"__NONE__"	"Introduces spreadsheet-based modeling methods for maximizing a firm's profit and forecasting customer demands. Understand pricing of constrained capacity, overbooking policies, price optimization, and customer segmentation for revenue maximization."	
"276"	"GT"	"MGT 6450: Project Management"	"__NONE__"	"Learn project management concepts and understand tools of project selection, planning and tracking. Understand special considerations for managing projects with outsourcing/offshoring settings. Investigate new technologies related to project management. Understand how to use Microsoft Project and other tools to manage projects."	
"277"	"GT"	"MGT 8803: Risk Analytics"	"__NONE__"	"Gain an understanding of the tools and methods to manage the risks faced by financial institutions. Special emphasis is placed on managing credit risk and risk measures. Many of the tools and topics discussed may also be applicable to non-financial companies."	
"278"	"GT"	"MGT 8803: Business Forecasting"	"__NONE__"	"Forecasting Bayesian statistics conditional probability continuous random variables "	
"279"	"GT"	"MGT 8803: Marketing Analytics and Pricing Strategy"	"__NONE__"	"Learn proven concepts, techniques, and frameworks for assessing and formulating pricing strategies. Establish a foundation for effective pricing decisions by understanding key economic, analytical, and behavioral concepts associated with costs, competitive behavior, and customer behavior. Learn to create additional value with advanced pricing techniques including dynamic pricing, segmented pricing, pricing structures, and promotions."	
"280"	"GT"	"MGT 8803: Business Analytics Practicum"	"__NONE__"	"This course pairs groups of students with a company for a semester-long project. Student teams works with their participating company by framing a business issue as an analytics problem, analyzing data provided by the company, and generating applicable business insights and/or developing capabilities."	
"281"	"GT"	"MGT 6725: Information Security Strategies and Policy"	"__NONE__"	"Both public- and private-sector organizations are increasingly treating cyber-security issues as top-level risks.  Major data breaches at companies such as Target and information security leaks such as those by Edward Snowden have enormous impacts on organizations.  This course examines strategies for managing information security risks, developing knowledge suitable for a range of organizational roles such as board of directors, top management, chief information security officers, and persons reporting to such actors.  The course examines the challenge of constructing and complying with Federal, State, local and organizational information security policies and legislation. It also examines key public policy cyber-security issues, recognizing the need for public-private partnerships, legislation, international coordination, and other systemic approaches for managing these risks.  More generally, the course seeks to develop the multi-disciplinary thinking that will take account of the technology, business strategy, policy, and law of information security."	
"282"	"GT"	"MGT 6726: Privacy, Technology, Policy and Law"	"__NONE__"	"This mixed undergraduate- and graduate-level course examines the challenge of constructing and complying with privacy policies, technical requirements, and legislation. Is privacy a fundamental human right, an outmoded concept, or something inbetween? How should individuals, businesses, and governments consider privacy when developing or employing new technologies or policies? Students in the course will participate in extensive in-class debates of privacy challenges, including the ethical and legal foundations of privacy, development of privacy-related technologies, and the comparative differences between American and European approaches to privacy legislation. Course topics include social networks, surveillance, wiretapping, encryption, and web-based advertising. This course features a semester-long collaboration with an Atlanta-based healthcare company seeking to engage students in real-world privacy challenges; specifically, compliance with federal privacy regulations, assessment of security and privacy policies, and development of new, privacy-sensitive approaches to business analytics. This will course will enable students to understand how privacy is defined, protected, and managed in the areas of technology, policy, and law. Specific objectives include: Examining the state-of-the-art for research and practice in information privacy, including methods, tools, notations and processes used in information systems; Understanding the legal and policy issues surrounding technologies that operate on sensitive information; Developing the multidisciplinary skills needed to analyze, manage, and resolve the challenges associated with privacy, technology, law, and policy; Gaining a basic grounding for future technical research in privacy via the examination of current research issues and problems; and Gain experience handling real-world privacy challenges through analysis of software and business artifacts using written and oral communication."	
"283"	"GT"	"ISyE 6333: Operations Research I"	"__NONE__"	"NA"	
"284"	"GT"	"ISyE 6334: Operations Research II"	"__NONE__"	"NA"	
"285"	"GT"	"ISyE 6644: Simulation"	"__NONE__"	"NA"	
"286"	"GT"	"ISyE 6650: Probabilistic Models"	"__NONE__"	"NA"	
"287"	"GT"	"ISyE 6663: Nonlinear Optimization"	"__NONE__"	"NA"	
"288"	"GT"	"ISyE 6669: Deterministic Optimization"	"__NONE__"	"NA"	
"289"	"GT"	"ISyE 6679: Computational Methods"	"__NONE__"	"NA"	
"290"	"GT"	"CP 6514: Introduction to Geographic Information Systems"	"__NONE__"	"This graduate level Introduction to GIS course will serve as a basic introduction for those who want to use GIS to support their interest in another area and as a foundation course for those who intend to concentrate their studies in the GIS specialization. Course objectives are implemented through readings, lectures and laboratory sessions that give students hands-on exposure to ArcGIS , a popular desktop GIS software from ESRI. The use of this particular software package is intended to provide students with a thorough grounding in the generic underpinnings of geographic information system concepts and design, and a working knowledge of current ArcGIS software that can be used both academically and professionally."	
"291"	"GT"	"ISyE 6201: Manufacturing Systems"	"__NONE__"	"NA"	
"292"	"GT"	"ISyE 6202: Warehousing Systems"	"__NONE__"	"NA"	
"293"	"GT"	"ISyE 6203: Transportation and Supply Chain Systems"	"__NONE__"	"NA"	
"294"	"GT"	"ISyE 6230: Public Impact Applications of OR"	"__NONE__"	"NA"	
"295"	"GT"	"ISyE 6335: Supply Chain Engineering I"	"__NONE__"	"NA"	
"296"	"GT"	"ISyE 6336: Supply Chain Engineering II"	"__NONE__"	"NA"	
"297"	"GT"	"ISyE 6337: Supply Chain Engineering III"	"__NONE__"	"NA"	
"298"	"Brown"	"DSI 1: An Introduction to Topics in Probability, Statistics, and Machine Learning"	"__NONE__"	"This course will include topics such as maximum likelihood estimation (MLE); entropy; divergence; random numbers and their applications; introduction to high- dimensional data; graphical models and exponential families; regression and density estimation."	
"299"	"Brown"	"DSI 2: An Introduction to Data and Computational Science"	"__NONE__"	"The course will cover basic computational models and algorithms; data management and visualization; basic web programming; information retrieval; integration, and cleaning; hardware; distributed systems; security and privacy; multi-media analytics."	
"300"	"Brown"	"DSI 4: Probability, Statistics and Machine Learning: Advanced Methods"	"__NONE__"	"Includes topics such as estimation and approximation in exponential families; nonparametric regression and density estimation; classification; ensemble methods."	
"301"	"Brown"	"DSI 5: Data and Computational Science: Advanced Methods"	"__NONE__"	"Includes topics such as data mining; computational statistics; machine learning and predictive modeling; big data analytics algorithms."	
"302"	"Brown"	"DSI 6: Data and Society"	"__NONE__"	"A uniquely Brown course involving case studies that will cover topics such as the broader implications in policy and ethics; publication bias and its impacts on society; security vs. privacy; and homeland security, NSA, and the hope for automated triage. This course will leverage faculty and curricular existing resources, including the Watson Institute and departments in the social sciences and humanities."	
"303"	"Brown"	"DSI 8: Summer Capstone"	"__NONE__"	"For their capstone experience, students will work on a project with real data, potentially in any one of the areas covered by the elective course. A faculty member from one of the four departments will oversee the capstone course, although each student may collaborate with an additional faculty member, postdoc, or industry partner on his/her project. Each student will prepare a paper and/or oral presentation of his/her work. The summer capstone should entail at least 180 hours of work (to receive one course credit) and as such, may be completed in 5-10 weeks. The project may begin and end at any time during the summer. A letter grade will be awarded for the summer capstone course."	
"304"	"IU"	"CSCI A594: Data Structures"	"__NONE__"	"Systematic study of data structures encountered in computing problems; structure and use of storage media; methods of representing structured data; and techniques for operating on data structures. Lecture and laboratory. "	
"305"	"IU"	"CSCI A596: Programming Languages"	"__NONE__"	"NA"	
"306"	"IU"	"CSCI A597: Introduction to Programming I"	"__NONE__"	"NA"	
"307"	"IU"	"CSCI B501: Theory of Computing"	"__NONE__"	"NA"	
"308"	"IU"	"CSCI B503: Algorithms Design and Analysis"	"__NONE__"	"NA"	
"309"	"IU"	"CSCI B521: Programming Language Principles"	"__NONE__"	"NA"	
"310"	"IU"	"CSCI B522: Programming Language Foundations"	"__NONE__"	"NA"	
"311"	"IU"	"CSCI B534: Distributed Systems"	"__NONE__"	"NA"	
"312"	"IU"	"CSCI B546: Malware Epidemic: Threat and Defense"	"__NONE__"	"NA"	
"313"	"IU"	"CSCI B547: Systems & Protocol Security & Information Assurance"	"__NONE__"	"NA"	
"314"	"IU"	"CSCI B551: Elements of Artificial Intelligence"	"__NONE__"	"NA"	
"315"	"IU"	"CSCI B552: Knowledge Based Artificial Intelligence"	"__NONE__"	"NA"	
"316"	"IU"	"CSCI B554: Probabilistic Approaches to Artificial Intelligence"	"__NONE__"	"NA"	
"317"	"IU"	"CSCI B555: Machine Learning"	"__NONE__"	"NA"	
"318"	"IU"	"CSCI B557: Music Information Processing"	"__NONE__"	"NA"	
"319"	"IU"	"CSCI B561: Advanced Database Concepts"	"__NONE__"	"Database models and systems: especially relational and object-oriented; relational database design theory; structures for efficient data access; query languages and processing; database applications development; views. Transaction management: concurrency and recovery."	
"320"	"IU"	"CSCI B565: Data Mining"	"__NONE__"	"NA"	
"321"	"IU"	"CSCI B603: Advanced Algorithms Analysis"	"__NONE__"	"Advanced topics in analysis of algorithms, including fast algorithms for classical problems, lower bounds results, and statistical behavior."	
"322"	"IU"	"CSCI B609: Foundations in Data Science"	"__NONE__"	"NA"	
"323"	"IU"	"CSCI B649: Advanced Topics in Privacy"	"__NONE__"	"NA"	
"324"	"IU"	"CSCI B649: Cloud Computing"	"__NONE__"	"NA"	
"325"	"IU"	"CSCI B649: High Performance Computing"	"__NONE__"	"NA"	
"326"	"IU"	"CSCI B649: Mobile Computing"	"__NONE__"	"NA"	
"327"	"IU"	"CSCI B649: Organizational Informatics and Economics of Security"	"__NONE__"	"NA"	
"328"	"IU"	"CSCI B651: Natural Language Processing"	"__NONE__"	"NA"	
"329"	"IU"	"CSCI B652: Computer Models of Symbolic Learning"	"__NONE__"	"NA"	
"330"	"IU"	"CSCI B656: Web Mining"	"__NONE__"	"Machine learning techniques to mine the Web and other unstructured/semistructured, hypertextual, distributed information repositories. Crawling, indexing, ranking and filtering algorithms using text and link analysis. Applications to search, classification, tracking, monitoring, and Web intelligence."	
"331"	"IU"	"CSCI B657: Computer Vision"	"__NONE__"	"NA"	
"332"	"IU"	"CSCI B659: Advanced Natural Language Processing"	"__NONE__"	"NA"	
"333"	"IU"	"CSCI B659: Applied Machine Learning"	"__NONE__"	"NA"	
"334"	"IU"	"CSCI B659: Bandit Algorithms"	"__NONE__"	"NA"	
"335"	"IU"	"CSCI B659: Information Theory & Inference"	"__NONE__"	"NA"	
"336"	"IU"	"CSCI B659: Machine Learning Bioinformatics"	"__NONE__"	"NA"	
"337"	"IU"	"CSCI B659: Reinforcement Leanring for AI"	"__NONE__"	"NA"	
"338"	"IU"	"CSCI B659: Vision for Intelligent Robotics"	"__NONE__"	"NA"	
"339"	"IU"	"CSCI B661: Database Theory & System Design"	"__NONE__"	"NA"	
"340"	"IU"	"CSCI B673: Advanced Scientific Computing"	"__NONE__"	"NA"	
"341"	"IU"	"CSCI P536: Advanced Operating Systems"	"__NONE__"	"NA"	
"342"	"IU"	"CSCI P538: Computer Networks"	"__NONE__"	"NA"	
"343"	"IU"	"CSCI B551: Elements of Artificial Intelligence"	"__NONE__"	"NA"	
"344"	"IU"	"CSCI B649: Cloud Computing"	"__NONE__"	"NA"	
"345"	"IU"	"CSCI B649: Dataflow Supercomputing"	"__NONE__"	"NA"	
"346"	"IU"	"CSCI B649: High Performance Computing"	"__NONE__"	"NA"	
"347"	"IU"	"CSCI B649: Organizational Informatics & Economics of Security"	"__NONE__"	"NA"	
"348"	"IU"	"CSCI B609: Private Information Retrieval"	"__NONE__"	"NA"	
"349"	"IU"	"ILS Z511: Database Design"	"__NONE__"	"NA"	
"350"	"IU"	"ILS Z513: Organizational Informatics"	"__NONE__"	"NA"	
"351"	"IU"	"ILS Z532: Information Architecture for the Web"	"__NONE__"	"NA"	
"352"	"IU"	"ILS Z534: Metadata"	"__NONE__"	"NA"	
"353"	"IU"	"ILS Z534: Search"	"__NONE__"	"NA"	
"354"	"IU"	"ILS Z542: International Information Issues"	"__NONE__"	"NA"	
"355"	"IU"	"ILS Z555: Strategic Intelligence"	"__NONE__"	"NA"	
"356"	"IU"	"ILS Z586: Digitial Curation"	"__NONE__"	"NA"	
"357"	"IU"	"ILS Z604: Informatics of Big Data"	"__NONE__"	"NA"	
"358"	"IU"	"ILS Z604: Storytelling"	"__NONE__"	"NA"	
"359"	"IU"	"ILS Z636: Data Semantics"	"__NONE__"	"NA"	
"360"	"IU"	"ILS Z637: Information Visualization"	"__NONE__"	"NA"	
"361"	"IU"	"ILS Z639: Social Media Mining"	"__NONE__"	"NA"	
"362"	"IU"	"ILS Z652: Digital Libraries"	"__NONE__"	"NA"	
"363"	"IU"	"ILS Z604: Informatics of Big Data"	"__NONE__"	"NA"	
"364"	"IU"	"ILS Z636: Data Semantics"	"__NONE__"	"NA"	
"365"	"IU"	"ILS Z637: Information Visualization"	"__NONE__"	"NA"	
"366"	"IU"	"ILS Z639: Social Media Mining"	"__NONE__"	"NA"	
"367"	"IU"	"INFO I519: Introduction to Bioinformatics"	"__NONE__"	"NA"	
"368"	"IU"	"INFO I520: Security for Networked Systems"	"__NONE__"	"NA"	
"369"	"IU"	"INFO I521: Malware Epidemic: Threat and Defense"	"__NONE__"	"NA"	
"370"	"IU"	"INFO I523: Big Data Applications and Analytics"	"__NONE__"	"NA"	
"371"	"IU"	"INFO I524: Big Data Software and Projects"	"__NONE__"	"NA"	
"372"	"IU"	"INFO I525: Organizational Informatics and Economics of Security"	"__NONE__"	"NA"	
"373"	"IU"	"INFO I526: Applied Machine Learning"	"__NONE__"	"NA"	
"374"	"IU"	"INFO I529: Machine Learning in Bioinformatics"	"__NONE__"	"NA"	
"375"	"IU"	"INFO I533: Systems & Protocol Security & Information Assurance"	"__NONE__"	"NA"	
"376"	"IU"	"INFO I547: Music Information Processing: Audio"	"__NONE__"	"NA"	
"377"	"IU"	"INFO I590: Topics in Informatics: Data Science for Drug Discovery"	"__NONE__"	"NA"	
"378"	"IU"	"INFO I590: Topics in Informatics: Data Visualization"	"__NONE__"	"NA"	
"379"	"IU"	"INFO I590: Topics in Informatics: Informatics in Disasters and Emergency Response"	"__NONE__"	"NA"	
"380"	"IU"	"INFO I591: Internship in Data Science"	"__NONE__"	"NA"	
"381"	"IU"	"INFO I609: Advanced Seminar Informatics: Health Informatics"	"__NONE__"	"NA"	
"382"	"IU"	"INFO I699: Independent Study in Data Science"	"__NONE__"	"NA"	
"383"	"IU"	"INFO I520: Security for Networked Systems"	"__NONE__"	"NA"	
"384"	"IU"	"INFO I523: Big Data Applications and Analytics"	"__NONE__"	"NA"	
"385"	"IU"	"INFO I524: Big Data Software and Projects"	"__NONE__"	"NA"	
"386"	"IU"	"INFO I525: Organizational Informatics & Economics of Security"	"__NONE__"	"NA"	
"387"	"IU"	"INFO I526: Applied Machine Learning"	"__NONE__"	"NA"	
"388"	"IU"	"INFO I533: Systems & Protocol Security & Info Assurance"	"__NONE__"	"NA"	
"389"	"IU"	"INFO I535: Management, Access, and Use of Big and Complex Data"	"__NONE__"	"NA"	
"390"	"IU"	"INFO I590: Data Science for Drug Discover"	"__NONE__"	"NA"	
"391"	"IU"	"INFO I590: Data Science On-Ramp"	"__NONE__"	"NA"	
"392"	"IU"	"INFO I590: Data Semantics"	"__NONE__"	"NA"	
"393"	"IU"	"INFO I590: Intro to Business Analytics Modeling"	"__NONE__"	"NA"	
"394"	"IU"	"INFO I590: Network Science"	"__NONE__"	"NA"	
"395"	"IU"	"INFO I590: Perspectives in Data Science"	"__NONE__"	"NA"	
"396"	"IU"	"INFO I590: Python"	"__NONE__"	"NA"	
"397"	"IU"	"INFO I590: Real World Data Science"	"__NONE__"	"NA"	
"398"	"IU"	"INFO I591: Graduate Internship in Data Science"	"__NONE__"	"NA"	
"399"	"IU"	"INFO I699: Independent Study in Data Science"	"__NONE__"	"NA"	
"400"	"IU"	"INFO I609: Advanced Seminar Informatics: Social Informatics"	"__NONE__"	"NA"	
"401"	"IU"	"INFO I590: SQL and NOSQL"	"__NONE__"	"NA"	
"402"	"IU"	"SPEA P507: Data Analysis & Modeling for Public Affairs"	"__NONE__"	"NA"	
"403"	"IU"	"SPEA V506: Statistical Analysis for Effective Decision Making"	"__NONE__"	"NA"	
"404"	"IU"	"SPEA P507: Data Analysis and Modeling in Public Affairs"	"__NONE__"	"NA"	
"405"	"IU"	"SPEA V506: Statistical Analysis for Effective Decision-Making"	"__NONE__"	"NA"	
"406"	"IU"	"STAT S520: Intro to Statistics"	"__NONE__"	"NA"	
"407"	"IU"	"STAT S520: Introduction to Statistics"	"__NONE__"	"NA"	
"408"	"IU"	"STAT S620: Introduction to Statistical Theory"	"__NONE__"	"NA"	
"409"	"IU"	"STAT S626: Bayesian Data Analysis"	"__NONE__"	"NA"	
"410"	"IU"	"STAT S631: Applied Linear Models I"	"__NONE__"	"NA"	
"411"	"IU"	"STAT S632: Applied Linear Models II"	"__NONE__"	"NA"	
"412"	"IU"	"STAT S650: Time Series Analysis"	"__NONE__"	"NA"	
"413"	"IU"	"STAT S670: Exploratory Data Analysis"	"__NONE__"	"NA"	
"414"	"NYU"	"DS-GA-1001: Introduction to Data Science"	"__NONE__"	"Introduces students to the fundamental principles of data science that underlie the algorithms, processes, methods, and data-analytic thinking. Introduces students to algorithms and tools based on these principles. Introduces frameworks to support problem-focused data-analytic thinking. Approach business problems data-analytically. Think carefully and systematically about whether & how data can improve a particular application, to understand a phenomenon better and especially to make better-informed decisions and automated decisions. Understand fundamental principles of data science, such as using data to get information about an unknown quantity of interest, calculating and using data similarity, fitting models to data, supervised and unsupervised modeling, overfitting and its avoidance, evaluation and model analytics, visualization, predictive modeling, causal inference, the data mining process, problem decomposition, data science strategy, solution deployment, and more. Be able to apply the most important data science methods, using open-source tools."	
"415"	"NYU"	"DS-GA-1002: Statistical and Mathematical Methods"	"__NONE__"	"This course introduces fundamental concepts in probability and statistics from a data-science perspective. The aim is to become familiarized with probabilistic models and statistical methods that are widely used in data analysis."	
"416"	"NYU"	"DS-GA-1003: Machine Learning and Computational Statistics"	"__NONE__"	"The course covers a wide variety of topics in machine learning, pattern recognition, statistical modeling, and neural computation. It covers the mathematical methods and theoretical aspects, but primarily focuses on algorithmic and practical issues. Teach intermediate topics in machine learning. Provide hands-on experience in designing and programming data science algorithms"	
"417"	"NYU"	"DS-GA-1001: Introduction to Data Science, or undergraduate course in Machine Learning."	"__NONE__"	"__none__"	
"418"	"NYU"	"DS-GA-1002: Statistical and Mathematical Methods"	"__NONE__"	"Some experience in programming: Java, C, C++, Python, R, Lua, Ruby, OCaml or similar languages, equivalent to two introductory courses in programming, such as “Introduction to Programming” and “Data Structures and Algorithms.”"	
"419"	"NYU"	"DS-GA-1004: Big Data"	"__NONE__"	"Big Data requires the storage, organization, and processing of data at a scale and efficiency that go well beyond the capabilities of conventional information technologies. In this course, we will study the state of the art in big data management: we will learn about algorithms, techniques and tools needed to support big data processing. In addition, we will examine real applications that require massive data analysis and how they can be implemented on Big Data platforms. The course will consist of lectures based both on textbook material and scientific papers. It will also include programming assignments that will provide students with hands-on experience on building data-intensive applications using existing Big Data platforms, including Amazon AWS. Besides lectures given by the instructor, we will also have guest lectures by experts in some of the topics we will cover."	
"420"	"NYU"	"DS-GA-1001: Introduction to Data Science or equivalent undergraduate course"	"__NONE__"	"NA"	
"421"	"NYU"	"DS-GA-1002: Statistical and Mathematical Methods"	"__NONE__"	"NA"	
"422"	"NYU"	"DS-GA-1005: Inference and Representation"	"__NONE__"	"This course covers graphical models, causal inference, and advanced topics in statistical machine learning. Teach exact and approximate inference methods in graphical models. Teach learning techniques for graphical models and structured prediction. Teach methods for causal inference."	
"423"	"NYU"	"DS-GA-1004: Machine Learning and Computational Statistics"	"__NONE__"	"NA"	
"424"	"NYU"	"DS-GA-1006: Capstone Project and Presentation in Data Science"	"__NONE__"	"The purpose of the capstone project is for the students to apply theoretical knowledge acquired during the the program to a real project involving actual data in a realistic setting. During the project, students engage in the entire process of solving a real-world data science project: from collecting and processing actual data, to applying a suitable and appropriate analytic method to the problem. Both the problem statements for the project assignments and the datasets orginate from real-world domains similar to those that students might typically encounter within industry, government, NGO, or academic research. Depending upon a project’s complexity, students work individually or in small teams on a problem statement typically specified by an industry or governmental sponsor employing data set provided by the sponsor. Academic, governmental and NGO research groups (both from within, as well as external to NYU) may also propose projects. A list of projects will be posted early in the semester, so students can align themselves with problems statements corresponding to their individual interests. As the project and problem statements warrant, students may be permitted to organize into teams of two to three participants. Teams larger than three will be considered for approval on a case-by-case basis, as warranted. The final problem statements and the composition of the teams will be approved by the Course Director in coordination with any relevant faculty advisor and the sponsor’s assigned representative (i.e. the sponsoring Project Coach). Each project team will be supervised by the Course Director (in some cases with a relevant faculty advisor) and advised by the Project Coach assigned from the academic, governmental, NGO or industry sponsor. Here are two examples of illustrative projects:  An large insurance company has an anonymized dataset of workers compensation claimants. The insurance claims dataset incorporates corresponding data, e.g. claimant demographics, claims payments, etc. A team comprised of capstone students, advised by the instructor in conjunction with a technical coach from the company, employ the dataset to develop and implement an analytic solution using software tools studied in previous courses. A professor from the Department of Politics has a dataset about tweets from individuals, with some indication of the party affiliation of the individual. Students use text classification methods studied in class to build a system that can predict party affiliation and voting behavior from tweets in conjunction social network tools to sort tweeters. Students will demonstrate an ability to handle a problem in data science from the point of problem definition through delivery of a solution. In doing so, they will demonstrate proficiency in collecting and processing real-world data, in designing the best methods to solve the problem, and in implementing a solution. Students will demonstrate competence in presenting material by delivering two presentations: a proposal on how to approach the problem and their final solution. Students will learn how to work in small teams by working with at least one other student on their project. Students will write a report on their project for evaluation by the instructor in consultation with the project advisors. The report will be structured as a typical research paper, and hence will include three main sections: 1. motivation and problem definition, existing approaches to the problem; 2. proposed solution; 3. results, conclusion, and directions for future work."	
"425"	"NCState"	"AA500: Analytics Tools and Techniques"	"__NONE__"	"Orientation and Introduction. Data Querying and Reporting. Data Access and Management. Data Cleaning. Statistical Programming Tools. Data Mining Overview. Geospatial Data Analytics. Relational Databases and Data Warehouses. Statistical Analysis of Databases. Data Visualization. Presentation Skills. Teamwork Skills. Problem Solving Skills."	
"426"	"NCState"	"AA501: Analytics Foundations"	"__NONE__"	"Linear Algebra Overview. Exploratory Data Analysis. Linear Regression. Multiple Linear Regression. Regression Diagnostics. Logistic Regression. ANOVA. Analysis of Tables. Statistics Assessments. Written and Computer Application."	
"427"	"NCState"	"AA502: Analytics Methods and Applications I"	"__NONE__"	"Linear Algebra. Data Mining. Machine Learning. Text Mining. Logistic Regression. Simulation and Finance. Optimization. Time Series and Forecasting. Advanced Programming. Customer Analytics."	
"428"	"NCState"	"AA504: Analytics Practicum I"	"__NONE__"	"Data Privacy and Security. Legal Issues. Data Visualization. Geospatial Data. Project Management. Teamwork and Conflict Resolution. Leadership/Followership. Consulting Skills. Problem-Solving. Communication Skills. Technical Writing."	
"429"	"NCState"	"AA503: Analytics Methods and Applications II"	"__NONE__"	"Advanced Modeling. Survival Analysis. Big Data. Design of Experiments. Risk Analytics. Financial Analytics. Web Analytics. Advanced Exploratory and Outlier Analysis. Advanced Data Mining. Special Topics."	
"430"	"NCState"	"AA505: Analytics Practicum II"	"__NONE__"	"Data Security. Project Management. Data Visualization. Teamwork Skills. Visual Communication of Data. Presentation Skills. Technical Writing."	
"431"	"NWU"	"MSIA 400: ANALYTICS FOR COMPETITIVE ADVANTAGE"	"__NONE__"	"A gateway course covering basic analytics concepts through projects and success stories."	
"432"	"NWU"	"MSIA 413: DATABASES RETRIEVAL"	"__NONE__"	"Data models and database design."	
"433"	"NWU"	"MSIA 401: PREDICTIVE ANALYTICS I"	"__NONE__"	"Multiple regression, logistic regression, and discriminant analysis."	
"434"	"NWU"	"MSIA 440: OPTIMIZATION AND HEURISTICS"	"__NONE__"	"Integer programming, nonlinear programming, local search, genetic algorithms, simulated annealing, and metaheuristics."	
"435"	"NWU"	"MSIA 489: INDUSTRY PRACTICUM"	"__NONE__"	"Under the guidance of business and technical advisers, students work in small teams to integrate coursework into an industry supplied projects."	
"436"	"NWU"	"MSIA 410: ANALYTICAL CONSULTING PROJECT LEADERSHIP"	"__NONE__"	"Project management, business, and interpersonal communication."	
"437"	"NWU"	"MSIA 421: DATA MINING"	"__NONE__"	"Clustering (k-means, partitioning), association rules, factor analysis, scale development, survival analysis, principal components analysis, and dimension reduction."	
"438"	"NWU"	"MSIA 420: PREDICTIVE ANALYTICS II"	"__NONE__"	"Non-parametric regression and classification, time series, and quality control methods."	
"439"	"NWU"	"MSIA 422: INTRODUCTION TO JAVA & PYTHON PROGRAMMING"	"__NONE__"	"Object oriented programming, Java, data structures, and basic algorithms."	
"440"	"NWU"	"MSIA 411: DATA VISUALIZATION"	"__NONE__"	"Purposes of visualization, statistical graphics, visualization for Exploratory Data Analysis, interacting with graphics, and large dataset applications."	
"441"	"NWU"	"MSIA 431: ANALYTICS FOR BIG DATA"	"__NONE__"	"With emphasis on Hadoop, unstructured data concepts (key-value), MapReduce technology, and analytics for big data."	
"442"	"NWU"	"MSIA 430: DATA WAREHOUSING AND WORKFLOW MANAGEMENT"	"__NONE__"	"ETL (extract, transform, load), OLAP, workflow; Business Intelligence: dashboards, scorecards, and performance evaluations."	
"443"	"NWU"	"MSIA 499: CAPSTONE DESIGN PROJECT"	"__NONE__"	"In this culminating project, students draw on the breadth and depth of the curriculum to address an industry supplied problem."	
"444"	"NWU"	"MSIA 412: LEADERSHIP FOR ANALYTICAL ORGANIZATIONS AND FUNCTIONS"	"__NONE__"	"Organizational challenges with analytics, IT and business users; change management, and ROI."	
"445"	"NWU"	"MSIA 490-29: DEEP LEARNING"	"__NONE__"	"Many challenging problems in diverse areas such as computer vision, speech recognition, and machine language translation have recently made great progress by using an emerging technology called deep learning. At its core, deep learning is inspired by a simplified model of how the human brain works by building effective hierarchical representations of complex data. This course will explore applications and theory relevant to problem solving using deep learning. By the end of this course, students will gain intuition about how to apply various techniques judiciously and how to evaluate success. Students will also gain deeper insight into why certain techniques may work or fail for certain kinds of problems.​"	
"446"	"NWU"	"MSIA 490-27: SOCIAL NETWORKS ANALYSIS"	"__NONE__"	"This course explores the use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales-ranging from small groups to the World Wide Web. It examines how we create social, economic, and technological networks, and how these networks enable and constrain our attitudes and behavior. The course will discuss how social network concepts, theories, and visual-analytic methods are being used to map, measure, understand, and design a wide range of phenomena such as social networking sites (e.g. Facebook, Myspace), recommender systems (e.g., Amazon, Netflix, Pandora), trust and reputation systems (e.g., eBay, Epinions, Slashdot), search engines (e.g., Flickr, Wikipedia, Yelp), social bookmarking (e.g., Delicious, Digg, Reddit), and virtual worlds (e.g., Second Life, EverQuest 2, World of Warcraft)."	
